ID	Combined	L	P	N	S	R	PFD	V	FE	VS	BF	SP	NL	OW	TO	MSD	NR
63	L4P3N3S3	L4	P3	N3	S3	R2	PFD2	V2	FE3	VS1	BF1	SP1	NL7	OW2	TP2	MSD1	NR1
64	L4P4N3S3	L4	P4	N3	S3	R2	PFD2	V2	FE3	VS2	BF2	SP1	NL5	OW2	TP2	MSD1	NR1
65	L4P5N3S3	L4	P5	N3	S3	R2	PFD2	V2	FE3	VS1	BF1	SP1	NL5	OW2	TP2	MSD1	NR1
66	L5P1N3S3	L5	P1	N3	S3	R2	PFD2	V2	FE1	VS1	BF1	SP2	NL6	OW2	TP2	MSD1	NR2
67	L5P2N3S3	L5	P2	N3	S3	R2	PFD2	V2	FE3	VS2	BF2	SP2	NL7	OW2	TP2	MSD1	NR2
68	L5P3N3S3	L5	P3	N3	S3	R2	PFD2	V2	FE3	VS1	BF1	SP2	NL7	OW2	TP2	MSD1	NR2
69	L5P4N3S3	L5	P4	N3	S3	R2	PFD2	V2	FE3	VS2	BF2	SP2	NL8	OW2	TP2	MSD1	NR2
70	L5P5N3S3	L5	P5	N3	S3	R2	PFD2	V2	FE3	VS1	BF1	SP2	NL8	OW2	TP2	MSD1	NR2
71	L6P1N3S3	L6	P1	N3	S3	R2	PFD2	V2	FE1	VS1	BF1	SP2	NL10	OW2	TP2	MSD2	NR2
72	L6P2N3S3	L6	P2	N3	S3	R2	PFD2	V2	FE4	VS2	BF2	SP2	NL11	OW2	TP2	MSD2	NR2
73	L6P3N3S3	L6	P3	N3	S3	R2	PFD2	V2	FE4	VS1	BF1	SP2	NL11	OW2	TP2	MSD2	NR2
74	L6P4N3S3	L6	P4	N3	S3	R2	PFD2	V2	FE4	VS2	BF2	SP2	NL9	OW2	TP2	MSD2	NR2
75	L6P5N3S3	L6	P5	N3	S3	R2	PFD2	V2	FE4	VS1	BF1	SP2	NL9	OW2	TP2	MSD2	NR2
76	L7P1N3S3	L7	P1	N3	S3	R2	PFD2	V2	FE1	VS1	BF1	SP2	NL13	OW2	TP2	MSD2	NR2
77	L7P2N3S3	L7	P2	N3	S3	R2	PFD2	V2	FE4	VS2	BF2	SP2	NL14	OW2	TP2	MSD2	NR2
78	L7P3N3S3	L7	P3	N3	S3	R2	PFD2	V2	FE4	VS1	BF1	SP2	NL14	OW2	TP2	MSD2	NR2
79	L7P4N3S3	L7	P4	N3	S3	R2	PFD2	V2	FE4	VS2	BF2	SP2	NL12	OW2	TP2	MSD2	NR2
80	L7P5N3S3	L7	P5	N3	S3	R2	PFD2	V2	FE4	VS1	BF1	SP2	NL12	OW2	TP2	MSD2	NR2
